File Version,BWSpec4.11_1
71,791.56,12633.25,105.60,1066.0000,65535.0000,44020.6667,42954.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
72,791.71,12630.82,108.03,1111.0000,65535.0000,42391.0000,41280.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
73,791.87,12628.39,110.46,1077.0000,65535.0000,40743.3333,39666.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
74,792.02,12625.96,112.89,1088.0000,65535.0000,38992.3333,37904.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
75,792.17,12623.54,115.32,1113.0000,65535.0000,37377.0000,36264.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
76,792.32,12621.11,117.74,1063.0000,65535.0000,35645.0000,34582.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
77,792.48,12618.69,120.17,1100.0000,65535.0000,34006.6667,32906.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
78,792.63,12616.26,122.59,1064.0000,65535.0000,32324.6667,31260.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
79,792.78,12613.84,125.01,1069.0000,65535.0000,30354.6667,29285.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
80,792.93,12611.42,127.44,1094.0000,65535.0000,28511.6667,27417.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
81,793.08,12609.00,129.86,1092.0000,65535.0000,26689.0000,25597.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
82,793.24,12606.58,132.28,1116.0000,65535.0000,25105.3333,23989.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
83,793.39,12604.16,134.70,1083.0000,65535.0000,23571.0000,22488.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
84,793.54,12601.74,137.11,1111.0000,65535.0000,22085.0000,20974.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
85,793.69,12599.32,139.53,1093.0000,65535.0000,20856.3333,19763.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
86,793.85,12596.91,141.95,1079.0000,65535.0000,19647.3333,18568.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
87,794.00,12594.49,144.36,1099.0000,65535.0000,18554.3333,17455.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
88,794.15,12592.08,146.77,1069.0000,65535.0000,17774.0000,16705.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
89,794.30,12589.67,149.19,1095.0000,65535.0000,16927.0000,15832.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
